,text,helpfulness,sarcasm,product,sentiment,flag
13,"McCann's Instant Oatmeal is great if you must have your oatmeal but can only scrape together two or three minutes to prepare it. There is no escaping the fact, however, that even the best instant oatmeal is nowhere near as good as even a store brand of oatmeal requiring stovetop preparation.  Still, the McCann's is as good as it gets for instant oatmeal. It's even better than the organic, all-natural brands I have tried.  All the varieties in the McCann's variety pack taste good.  It can be prepared in the microwave or by adding boiling water so it is convenient in the extreme when time is an issue.<br /><br />McCann's use of actual cane sugar instead of high fructose corn syrup helped me decide to buy this product.  Real sugar tastes better and is not as harmful as the other stuff. One thing I do not like, though, is McCann's use of thickeners.  Oats plus water plus heat should make a creamy, tasty oatmeal without the need for guar gum. But this is a convenience product.  Maybe the guar gum is why, after sitting in the bowl a while, the instant McCann's becomes too thick and gluey.",1,1,"['Instant'], [ 'Oatmeal']",1,0
14,"This is a good instant oatmeal from the best oatmeal brand.  It uses cane sugar instead of high fructouse corn syrup, so not only does it have a better sweetness, but some doctors now say that this form of sugar is better for you.  Great on a cold morning when you don't have time to make McCann's Steel Cut Oats.  The apple cinnamon is the best but the maple and brown sugar or the regular are good too.  Plus they don't require doctoring to actually tell the three flavors apart.",1,1,"[ ""McCann's""], ['Steel'], [ 'Cut'], ['Oats']",1,0
15,"Instant oatmeal can become soggy the minute the water hits the bowl. McCann's Instant Oatmeal holds its texture, has excellent flavor, and is good for you all at the same time. McCann's regular oat meal is excellent, too, but may take a bit longer to prepare than most have time for in the morning. This is the best instant brand I've ever eaten, and a very close second to the non-instant variety.<br /><br />McCann's Instant Irish Oatmeal, Variety Pack of Regular, Apples & Cinnamon, and Maple & Brown Sugar, 10-Count Boxes (Pack of 6)",0,1,"['Instant'], ['Oatmeal']",1,0
16,"McCann's Instant Irish Oatmeal, Variety Pack of Regular, Apples & Cinnamon, and Maple & Brown Sugar, 10-Count Boxes (Pack of 6)<br /><br />I'm a fan of the McCann's steel-cut oats, so I thought I'd give the instant variety a try. I found it to be a hardy meal, not too sweet, and great for folks like me (post-bariatric surgery) who need food that is palatable, easily digestible, with fiber but won't make you bloat.",1,1,"['Instant'], ['Irish'], [''Oatmeal']",1,0
17,I have McCann's Oatmeal every morning and by ordering it from Amazon I am able to save almost $3.00 per box.<br />It is a great product. Tastes great and very healthy,0,1,['Oatmeal'],1,0
18,"McCann's Oatmeal is a good quality choice.  Our favorite is the Apples and Cinnamon, but we find that none of these are overly sugary.  For a good hot breakfast in 2 minutes, this is excellent.",0,1,"[Oatmeal'], ['Apples'], [ 'Cinnamon']]",1,0
19,"I really like the Maple and Brown Sugar flavor. The regular is fine with brown sugar added. The Apples and Cinnamon flavor is OK. This is a very quick, easy and satisfying breakfast and I'll order this brand again, but not the variety. I'll get all Maple and Brown Sugar.",0,1,"['Maple'], ['Brown'], ['Sugar'], ['Apples']",1,0
20,"This wasn't in stock the last time I looked. I had to go to the Vermont Country Store in Weston to find it along with a jaw harp, Cranberry Horseradish Sauce, Fartless Black Bean Salsa, Apple Cider Jelly, Newton's Cradle Art in Motion and the staple Vermont Maple Syrup.<br /><br />Back to the Ass Kickin Peanuts. They are hot. They will activate the perspiration glands behind your ears and under your arms. It requires a beverage as advertised, a glass of very cold milk, and a box of Kleenex since it will make your nose run. They look like ordinary peanuts which is already giving me ideas for work. I suspect that some people have been hitting my goodies in my absence, especially my colleague Greg. I'm going to take this to work at earliest opportunity and empty the contents of this can into an ordinary Planters Peanuts can, and then see whose crying or whose nose is running when I return.<br /><br />The can should be shaken to ensure the spices are evenly distributed. It is important to wash your hands after consumption and not touch the eyes.<br /><br />You'll go nuts over these Ass-Kickin' Peanuts.<br /><br />P.S. I'm not sharing the peanuts, not deliberately, and I'll probably give Greg the jaw harp for Christmas. He'll be so insulted.",1,1,"['Cranberry'], ['Horseradish'], ['Sauce'], ['Fartless'], [ 'Black'], ['Bean'], [ 'Salsa'], [ 'Apple'], ['Cider'], [ 'Jelly'], [""Newton's""], ['Cradle'], ['Art'], ['Vermont'], ['Maple'], [ 'Syrup'], ['Peanuts']",-1,0
21,"I roast at home with a stove-top popcorn popper (but I do it outside, of course). These beans (Coffee Bean Direct Green Mexican Altura) seem to be well-suited for this method. The first and second cracks are distinct, and I've roasted the beans from medium to slightly dark with great results every time. The aroma is strong and persistent. The taste is smooth, velvety, yet lively.",0,1,"['Coffee'], [''Bean'], [ 'Direct'], ['Green'], ['Mexican'], ['Altura']",1,0
22,"It is chocolate, what can I say.  Great variety of everything our family loves.  With a family of six it goes fast here.  Perfect variety.  Kit Kat, Reeses, take five and more.",0,1,"[ 'Kit'], ['Kat'], ['Reeses']]",1,0
23,"I have used the endurolyte product for several years in both pill and powder form.  Long desert rides on the dirt bike always found my camelbak water heavily laced with the endurolyte powder, not overly tasty, but quite effective, as I never got a cramp on these several hundred mile rides.  Same for desert racing in the buggy, the camelbaks were always laced with the powder.  Now we have the Fizz...what a great product!  Firstly, its Hammer's endurolyte product so it's great, endurance athlete's the world over use their products. Second its convenient, handly tablets that dissovle in a fizz.  Third it tastes great! Imagine getting a nice cool drink when your body is starving for hydration and electrolytes and rather than getting a ""salty"" taste, you get a refreshing lemon-lime or mango!  The camelbaks always get the Fizz now.  I also drop a tablet in my bottled water whenever I exercise and have a nice flavored water chock full of electrolytes. I cannot recommend this product or any hammer product highly enough.",1,1,"['Fizz'], [""Hammer's""]",1,0
24,This product serves me well as a source of electrolytes during and after a long run or bike ride.<br />I have tried all of the flavors but really do like the grapefruit flavor... no after-taste and I actually like the slight carbonation.<br />I use other Hammer products and really like their whole product line.,0,1,['Hammer'],1,0
25,"For those of us on a low carb diet these little tablets are just the thing.<br /><br />Two years ago I started cycling again after many years but was having heart arrhythmia after longer rides in high heat.  I was drinking plain water but did a little research and thought electrolytes might be the issue.  Gatorade wasn't an option because it is so loaded with carbohydrates so I looked around for a low-carb alternative.  The ""zero carb"" sports drinks didn't help so what to do?  One day I ran across these at my bike shop so tried a tube of them.....voila!...problem solved!!<br /><br />I've shared them with two friends in particular whose problems with leg cramps were resolved while using these.<br /><br />These guys got it right -- they are superbly formulated and simply work.....",1,1,['Gatorade'],1,0
26,"I purchased the Mango flavor, and to me it doesn't take like Mango at all.  There is no hint of sweetness, and unfortunately there is a hint or aftertaste almost like licorice.  I've been consuming various sports nutrition products for decades, so I'm familiar and have come to like the taste of the most of the products I've tried.  The mango flavor is one of the least appealing I've tasted.  It's not terrible, but it's bad enough that I notice the bad taste every sip I take.",0,1,['Mango'],-1,0
27,Natural Balance Dry Dog Food Lamb Meal and Brown Rice Recipe did wonders for my Jack Russell. She has awful food allergy's and this food was our last hope because it was the last food we could find that didn't have SOMETHING in it that she was allergic to. She has no problem eating it dry but normally I mix the Natural Balance Dry Lamb and Brown Rice with the Natural Balance Wet Lamb and Brown Rice.. she seems to like that better. We started feeding it to our other dog (a Bichon) too and she loves it. If your dog has allergy's or stomach issue.. or if you want your dog to eat better food-- this is it! You will see a difference in your pet.,1,1,"[, 'Brown'], [ 'Rice'], [ 'Recipe'], ['Natural'], ['Balance'], [ 'Dry'], ['Lamb']",1,0
28,I like Creme Brulee. I loved that these were so easy. Just sprinkle on the sugar that came with and broil. They look amazing and taste great. My guess thought I really went out of the way for them when really it took all of 5 minutes. I will be ordering more!,0,1,"['Creme'], ['Brulee']",1,0
29,"I'm presently on a diet and I was at my Fresh and Easy Neighborhood Grocery looking over possible diet foods. I wanted things that were tasty, non-fat and low in calories. I came home with about a dozen items. That's how I discovered the Tillen Farms Pickled Crispy Asparagus. Well, I've always liked asparagus anyway and I've enjoyed several brands of pickled asparagus. This Tillen Farms brand is really, really good! It's the best I can recall. There's an excellent flavor and a big clove of garlic down in  the bottom of the jar which I'm looking forward to eating. I can't believe how good this asparagus tastes and right on the front it says ""only 60 calories per jar!"" Now this is my idea of a good diet food!<br /><br />Gary Peterson",1,1,"['Tillen'], ['Farms'], [ 'Pickled'], ['Crispy'], [ 'Asparagus']",1,0
30,"I have been drinking Royal King 100% Natural Organic Green Tea (100 tea bags x 2g each) as my every day tea for several years now.  I buy 12 boxes at a time to save on shipping.  For many years I used to drink coffee from morning till night.  But finally I realized that drinking so much coffee was not healthy for me.  I finally resolved to improve my health and stopped drinking coffee all together.  I tried many alternative drinks to replace my coffee habit.  I found that green tea was not only good tasting it also has health benefits.  Green tea is one of the few drinks that actually makes you healthier (coffe and other drinks do not) - the only healthier drink is quality cold water.  In my opinion, for the price, Royal King 100% Natural Organic Green Tea is one of the best tasting teas.  This green tea has a beautiful golden color, the taste is bright and fresh.  I recommend adding a tiny amount of Y.S. Organic Bee Farms RAW HONEY to the tea to add sweetness and health benefits too.  I also give myself a treat once in a while by having a much more expense tea (Tribute Xi Hu Long Jing) but this fantastic tea is not practical for me to drink as my every day tea (although I would if I could afford it).<br /><br />Cons:  On my latest shipment the package shown on the Amazon page is different than the one shipped.  The one shipped displays ""NATURALLY HIGH IN POLYPHENOL CATECHINS"" (a key contributive element to the possible health effects of tea), whereas the Amazon package displays ""CAFFENE FREE"".  So I am not sure if this green tea is Caffene free or not.  The other con is that sometimes the tea bag rips open when I unwrap the string from around the tea bag. So if the string seems stuck to the tea bag I put the bag in the hot water to unstick it.",1,1,"['Royal'], ['King'], [ 'Natural'], ['Organic'], ['Green'], [ 'Tea']",1,0
31,"I had heard a little about this product from the local pet store, then tried a small bag for our 2 cats of about 3 and 6 years respectively. The female, younger one took to it right away, and the older male, who was unfortunately weaned on the junk cat food with all the corn meal and etc... in it, and would usually refuse a diet change, actually liked it too. The older male is overweight and we were trying to switch him to soft food on the doctor's request, but he totally refused it. He is a posh cat after all. He still consumes too many calories, the fatty, but at least I know he's eating good food. Of course, I know this product seems to cost more than most other feline food on the market, but I just can't see feeding our animals the lousy alternatives that are out there, marketed as being healthy. Why do commercials show cats eating a vegetarian diet which is mostly corn meal? Is that right? I'll stay with this for now, but stay tuned.<br /><br />I'm updating this review after 9 months of using this cat food for our two cats. I upgraded the stars from 4 to 5 as it really has been a good food for the two of them. Garfield still eats a little too much, but he's just a big cat who doesn't exercise much, let's face it. Our female cat will be 4 years old in a couple months and she's so healthy. She's tiny, but happy and agile. I tried the chicken version of Holistic Select, but Garfield seemd to miss this sardine version so we went back to this one. I've ordered the duck version and will update this once they try it.",1,1,"[ 'Holistic'], ['Select']",1,0
32,"Before I was educated about feline nutrition, I allowed my cats to become addicted to dry cat food. I always offered both canned and dry, but wish I would have fed them premium quality canned food and limited dry food. I have two 15 year old cats and two 5 year old cats. The only good quality dry foods they will eat are Wellness and Innova. Innova's manufacturer was recently purchased by Procter&Gamble. I began looking for a replacement. After once again offering several samples (from my local holistic pet store) Holistic Select was the only one (other than the usual Wellness and Innova) they would eat. For finicky cats, I recommend trying Holistic Select. It is a good quality food that is very palatable for finicky eaters.",1,1,"['Holistic'], ['Select']",1,0
33,"My holistic vet recommended this, along with a few other brands. We tried them all, but my cats prefer this (especially the sardine version). The best part is their coats are so soft and clean and their eyes are so clear. AND (and I don't want to be rude, so I'll say this as delicately as I can) their waste is far less odorous than cats who eat the McDonalds junk found in most stores, which is a definite plus for me! The health benefits are so obvious - I highly recommend Holistic Select!",1,1,"['Holistic'], ['Select']]",1,0
34,"I've been a fan of Hot & Spicy Maruchan Ramen for a long time. If you enjoy spice, and love ramen, you'll love this product. Too bad it's way too expensive here on Amazon. It's only $3.36 per 12 at my Walmart.",1,1,"[ 'Hot'], ['&'], [ 'Spicy'], ['Maruchan'], [ 'Ramen']",1,0
35,"Got these on sale for roughly 25 cents per cup, which is half the price of my local grocery stores, plus they rarely stock the spicy flavors. These things are a GREAT snack for my office where time is constantly crunched and sometimes you can't escape for a real meal. This is one of my favorite flavors of Instant Lunch and will be back to buy every time it goes on sale.",0,1,"[ 'Instant'], ['Lunch']",1,0
36,"My son has had acid reflux since birth and has been on every medication available with no improvement, Until an older gentleman came into his work place and told him about this product and I automatically ordered it for him. I was really not expecting any better results than the 1000 other things we have tried. What a surprise! He has not had any heartburn or symptoms since day 2 of starting eating one piece of this Ginger each morning. He can now eat anything and actually enjoy it. This product was a God send for him. Thank you all for it!",0,1,['Ginger'],1,0
37,"Being a fan of Newman's Pineapple salsa for quite a while, I was looking for a comparable salsa.  This is one of the best tasting salsas I've ever had.  My daughters love it too.  They don't like super chunky salsa and the Berry Mango has a nice smooth texture with small mango pieces.  The salsa is not too sweet, just sweet enough and although it's mild, it has a nice little kick to it.  At this price, it's a steal!",0,1,[ 'Pineapple'],1,0
38,"These singles sell for $2.50 - $3.36 at the store for 1 box of 24 singles. I'm not sure why Amazon is selling it for $9.99 for a box of 24 singles.  Hazelnut coffee creamer is my favorite, but truly this is not a good buy.",0,1,[ 'Hazelnut'],1,0
39,AWESOME!!! such a yummy flavor I got it as a healthy alternative to the desserts we normally eat and I am so glad that I did there are so many things you can do with Jello desserts and still have them taste good and be good for you. I will definitentally be purchasing this product again the flavor was so wonderful.,0,1,[ 'Jello'],1,0
40,"I went to 4 grocery stores looking for this flavor of Jello for my green tomato jam recipe and finally found it here. This jello is wonderful! Evidently it's only carried in the stores during the summer but with harvest time in the Fall, I couldn't find it anywhere in town. This Jello tastes like watermelon and the jam recipe I made with it takes like watermelon jam! Great made as regular Jello too. Yummy!",0,1,[['Jello'],1,0
41,I've never heard of the SAFCOL brand before but I was tired of only trying the typical pouches,0,0,"[ 'Starkist'],[ 'Chicken'], [ 'of'], [ 'the'], ['Sea']",-1,0
42,"I have always purchased Star-Kist tuna but thought I would try this brand for a change of pace. The taste of the tuna was not pleasant, too much basil and other spices for me.",1,1,"[ 'Star'], [ '-'], [' 'Kist']",1,0
43,"The item over all was fine, but the Banana Heads are not just like Banana Runts they are alot smaller. Also when I received the item, the packaging was not great. The Banana Heads had come open during shipping and were all over the packing envelope.",0,1,"['Banana'], [''Heads']",1,0
44,"I have drunk Ricore since my mother allowed be to drink caffeine. I love this stuff in milk.<br />It's much smoother and tastier than instant coffee with milk. I am French and live in the US,<br />and bring back boxes of Ricore at every opportunity. Savora is another hidden gem you can bring<br />back. Check it out.",1,1,"['Ricore'],[ 'Savora']",1,0
45,"I couldn't wait to try the 8&#8243; Cinnamon Coffee Cake because it is made with fresh eggs, creamy sour cream, Madagascar Bourbon Vanilla and is topped and filled with cinnamon streusel. This 8&#8243; Cinnamon Coffee Cake is available online for only $18.95. Now, I have had my fair share of cinnamon coffee cakes, but, let me just tell you that the FantasiCakes Cinnamon Coffee Cake really ""takes the cake"" with size, price, quality and taste.<br />The cake arrived very fast and was carefully packaged so that it arrived in almost perfect condition. It also comes with a large tub of white icing that you can drizzle over the top, before serving. I couldn't believe how large the size was and it actually fed my family of 5 for us to enjoy during breakfast, for three days. The cake itself is thick and almost has a solid but sponge cake type consistency that is really moist and very filling. The flavors are to die for with the sticky cinnamon outside and sweet cinnamon and vanilla swirled throughout the inside of the cake. The icing really tops it off beautifully and gives it that moist and sticky sweet flavor. Pair the cake with your morning coffee and you've got the perfect breakfast treat!",0,1,"['Cinnamon'], ['Coffee'], ['Cake'], ['FantasiCakes']",1,0
46,"This is not as good as the Frozen Lemon juice, but it is good. It has a slightly odd flavor, perhaps from a preservative. Sure wish I could order the frozen juice!",0,1,"['Frozen'], [ 'Lemon']",1,0
47,"We made chocolate chip cookies with BRM Garbanzo Bean Flour and the results were fantastic!  The brown sugar and chocolate mask any bean taste that other reviews have mentioned.  Our friends couldn't discern any difference from classic CCCs.  The texture, body, and elasticity (meaning reduced tendency to fall apart that occurs with most other gluten-free flours) is nice and chewy -- the same as CCCs made with regular flour.  And an added bonus -- the high protein and fiber level (I calculate 2-3 g fiber/cookie) fills you up so that you are satisfied with smaller servings and the glycemic index is significantly lower.<br /><br />I highly recommend this flour even if CCCs are the only thing you make with it.",1,1,"['BRM'], ['Garbanzo'], [ 'Bean'], [' 'Flour']",1,0
48,"I like these better than the regular Altoids, but they're even more costly, so you'd better like them.",0,1,['Altoids'],1,0
49,"The tiny Altoids are great for a quick breath freshening and the small box is great for portability. It's full, but compact.<br /><br />I haven't run out yet, and probably won't for a couple months, but I can't wait to buy it again.",0,1,['Altoids'],1,0
50,"I loved these Wintergreen Altoid Smalls so much, I had to come write a review. The packaging is small for convenience, and the Altoids are smaller as well with a square shape, blue hue, and even more delicious taste in my opinion. I definitely prefer them over the regular-size Altoids and will continue purchasing them! Highly recommended!",0,1,"[ 'Wintergreen'], ['Altoid'], [''Smalls'], ['Altoids'], [Altoids']",1,0
51,"To me, these are nothing like the regular Altoids and are not breath mints. They are pleasant-tasting little candies in a cute convenient tin, and that's as far as it goes. The mintiness is just not strong, and the wintergreens are definitely weaker than the peppermint minis. I'm not a dragon-breath person, but still, one of these mints is too small to have any effect on my breath. Four or five will freshen my breath for a short while - maybe 15 minutes. At this point, I think the Icebreakers Frost mints are the best as sugar free breath mints.",0,1,"[ 'Altoids'], [ 'Icebreakers'], [''Frost']",1,0
52,"we have fed our cats a lot of stuff. These 2 boy cats are not picky eaters. They loved the Purina. They loved the Nutro. They loved the Iams. They love whatever we feed them.<br /><br />This review is based on what we, their affectionate owners love. After a certain age, we were instructed by the vet to consider senior foods- and lower carb foods, because the catties were fatties. We tried a few types of food. Some evinced no change. Some made the litter super-stink.  Some had too small a kibble and the cats barfed it up because they didn't have to chew it to swallow it...<br /><br />This Felidae has done the trick. No problems to speak of. It is consistent in the litter and bearable on the nose. The cats love it. The kibble is sized appropriate to chewing. And here's the kicker:<br />After feeding the cats Felidae, their demeanor improved. Their coats are super soft and lush- both are new improvements we can directly attribute to this food. We're now loyal Felidae consumers.<br /><br />Additionally, the absence of corn product in the feed seems to lessen or remove the reactions of our friends with cat-allergies.",1,1,"[Nutro'], ['Felidae']",1,0
53,"I started my cat on Felidae Platinum about 3 weeks ago and she loves it. She's an older cat, somewhat overweight, and had a grouchy temperament. I first mixed it with her previous food and she figured out which was which -- she ate the Felidae and left the old food! She's now been on just the Felidae for about ten days now, off the old food entirely, and she is a much sweeter, happier cat. I think it must agree with her better or be more easily digested, or something. In any case, I am a happy purchaser of Felidae. I don't agree with the previous reviewer that cats don't like it. Clearly, mine does.",1,1,"['Felidae'], [ 'Platinum']",1,0
54,"We have three cats, the youngest is about eleven years old, another is fifteen and our oldest is, well ancient.  That is what the vet told us ten years ago.  The youngest is a blob.  When he lays down, he looks like a footstool. The other two are arthritic and skinny.<br /><br />Since we had such success with Canidae Platinum for senior dogs, I figured that we'd give it a try for our cats.  I'd had them on low ash Purina One Urinary tract formula for their entire lives and thankfully we had no UT problems.<br /><br />Buster, the youngest, is still a blob after six months plus on Felidae for Senior and Overweight cats.  However, the other two are now much more active and we can tell that they are really ""feeling better"" since we changed their food to Felidae.  Even Prissy, the ancient one has started to play and tease the dogs by getting them to chase her, where before when she was on Purina One, all she wanted to do was to sleep.<br /><br />I think that if you can get your cat on this fairly early in their weight problems, it'll be more effective.<br /><br />However, the glucosamine will certainly help your older fur balls have a happier life.",1,1,"['Purina'], ['One']",1,0
55,"A friend who'd been drinking tea for 80 of his 84 years introduced me to this tea a few months ago. Even took me over to the store and bought me a pound. At $7/lb. in a retail store or a little over $9 with shipping from an online merchant, I think it's great. I've been drinking Earl Grey, English Breakfast, Irish Breakfast, Lapsang Souchong, Assam, etc. Most of them were over $30/lb. with shipping. Aside from the Lapsang Souchong, I think this is a great replacement for all the rest. Has everything I'm looking for in a strong, full-bodied black tea with enough character to keep it from becoming boring. My current favorite afternoon tea. Unless you're extremely jaded or a tea snob, you'll love it.",1,1,"[ 'Earl'], ['Grey'], [''English'], [''Breakfast'], ['Irish'], ['Breakfast'], [' 'Lapsang'], ['Souchong']",1,0
56,"I drink this tea plain (without sugar or milk), and it has a pleasant aroma.<br /><br />The price from Amazon is cheaper than my local grocery store.  One reviewer is right, I think it has some herbal smell to make up the aroma.  So the label ""Imperial Blend"" kind of implied the herb.<br /><br />I am not exactly a black tea drinker, so this tea is a surprise, and affordable too.  I usually prefer White Chinese tea, like White Peony, but it is more expensive, and requires lower temperature water.  But this is black tea, and this aroma kind of remind me the 'softness' of white tea.",0,1,"[ 'White'], ['Peony']]",1,0
57,"I think I have tried just about every Bloody Mary mixer on the market at one time or the other.  Most have too much sugar or worst, corn syrup.  This mixer is all natural ingredients and very tasty. It does have a little kick. Enjoy.",0,1,"[ 'Bloody'], [ 'Mary']",-1,0
58,"Might be a little spicy for some, but this stuff rocks. I use 1/2 and1/2 with V8 for a milder version , or the best is a Bloody Caesar!<br />Half mix ,half clamato!",0,1,"[Bloody'], [ 'Caesar']",-1,0
59,"I'm trying several of the Wu Yi teas. I like this one particularly because of the subtle citrus taste. It also has a natural sweetness.<br /><br />The ingredients include Organic Wu-Li Cliff Oolong Tea (700 mg), Organic Black Tea (600 mg), Organic Green Tea Extract (100 mg), Proprietary blend (600 mg), plus some Ginseng (panax), Orange Peel, Lemon Grass, and Guarana. Other Ingredients: Natual Orange and Citrus flavors.<br /><br />My goal is to drink more tea and less coffee. I am enjoying trying a different kind of tea every day. I'll be coming back to this one.",1,1,"['Organic'], [ 'Wu'], ['-'], [ 'Li'], ['Cliff'], ['Oolong'], [ 'Tea'], ['Ginseng'], [ 'Guarana']",1,0
60,"The taste of these white cheddar flat breads is like a regular cracker - which is not bad, except that I bought them because I wanted a cheese taste.<br /><br />What was a HUGE disappointment? How misleading the packaging of the box is. The photo on the box (I bought these in store) makes it look like it is full of long flatbreads (expanding the length and width of the box). Wrong! The plastic tray that holds the crackers is about 2"" smaller all around - leaving you with about 15 or so small flatbreads.<br /><br />What is also bad about this is that the company states they use biodegradable and eco-friendly packaging. FAIL! They used a HUGE box for a ridiculously small amount of crackers. Not ecofriendly at all.<br /><br />Would I buy these again? No - I feel ripped off. The other crackers (like Sesame Tarragon) give you a little<br />more bang for your buck and have more flavor.",0,1,"[ 'Sesame'], ['Tarragon']]",-1,0
61,"This is the ultimate puppy food.  The kibbles are great for small breeds.  High in digestible nutrients as opposed to fillers some companies use.  Less waste results from the high quality ingredients.  I have been hunting, training, showing and handling various breeds of dogs for nearly 40 years, with multiple National Champions.  I have been highly satisfied with Eukanuba's quality and the results I have obtained feeding their foods.  My recent purchases are with WAG, through AMAZON.com.  Their prices are the best I have found and they are very good at shipping immediately on items in stock.",1,1,"[""Eukanuba's""], [ 'WAG']]",1,0
62,"The recommendation when we bought our puppies (lhasa/bichon mix and lhasa/poodle mix) was that we continue them on the food that they have had since being weaned. This is a somewhat expensive food so I can't say that we were terribly pleased but we loaded up on the stuff and headed home.<br /><br />Let me just say this, I have had small dogs before. Never have I seen such gas issues. Both of them consistently had foul gas. Consistently. Usually when they're sitting on our laps but, you know. They're dogs.<br /><br />When we got through the first bag of this stuff, we purchased more on amazon. It was a great price for it since we got a 40 lb bag for the price of (I think) a 15 lb bag at Petco. But, they continued to have gas. I mean, they loved the food, don't get me wrong and they loved it more when we'd mix in some water and it would be like soft food. Somehow that made their gas worse but I think I'll have to give that responsible to the speed with which they chowed down- can't blame the food itself for gluttony.<br /><br />Eventually, we switched their food. No more farting. I think it was due to the high fat content which undoubtedly is necessary for very small puppies. They just need that in their diet. I think that we were advised to keep them on it for much longer than was useful (they said up until 1 year). Yeah right, you try dealing with gas for that long. Around 6 mos of age we switched to PuppyChow. Much better. Granted, they don't like it as much, but we humans like it a whole lot better.",1,1,['PuppyChow'],1,0
63,Ahmad Tea is an excellent looseleaf tea eith hot or for making iced tea. Great flavor with no lingering aftertaste.,0,1,"[ 'Ahmad'], [ 'Tea']",1,0
